CGC2.1.t1	CGC2.1
CGC2.2.t1	CGC2.2
CGC2.2.t2	CGC2.2
CGC2.2.t3	CGC2.2
CGC2.3.t1	CGC2.3
CGC2.4.t1	gpdh-3
CGC2.4.t2	gpdh-3
CGC2.5.t2	T25G3.3
CGC2.5.t3	T25G3.3
CGC2.6.t1	cey-2.2
CGC2.7.t1	CGC2.7
CGC2.8.t1	CBG25164
CGC2.5.t1	T25G3.3
CGC2.9.t1	chs-1
CGC2.10.t1	T25G3.1
CGC2.11.t1	dcp-66
CGC2.11.t2	dcp-66
CGC2.11.t3	dcp-66
CGC2.12.t1	nas-36
CGC2.13.t2	C26C6.4
CGC2.13.t1	C26C6.4
CGC2.14.t1	mans-1
CGC2.15.t1	D2030.2
CGC2.16.t1	lrp-1
CGC2.17.t1	C26C6.9
CGC2.18.t1	goa-1
CGC2.18.t2	goa-1
CGC2.19.t1	K12C11.5
CGC2.20.t1	glb-8
CGC2.21.t1	rcor-1
CGC2.22.t1	lars-2
CGC2.22.t2	lars-2
CGC2.23.t1	ZK524.4
CGC2.23.t2	ZK524.4
CGC2.24.t1	CGC2.24
CGC2.25.t1	C26C6.6
CGC2.26.t1	T28F4.1
CGC2.27.t1	asic-2
CGC2.28.t1	T28F4.4
CGC2.28.t2	T28F4.4
CGC2.29.t1	T28F4.5
CGC2.30.t1	pbrm-1
CGC2.31.t1	C26C6.8
CGC2.32.t1	CGC2.32
CGC2.33.t1	capg-1
CGC2.34.t1	coh-4
CGC2.35.t1	bmk-1
CGC2.36.t1	che-3
CGC2.36.t2	che-3
CGC2.37.t1	rme-8
CGC2.37.t2	rme-8
CGC2.38.t1	F18C12.3
CGC2.39.t1	spr-4
CGC2.40.t1	lin-10
CGC2.40.t2	lin-10
CGC2.41.t1	sdz-4
CGC2.42.t1	CGC2.42
CGC2.43.t1	CGC2.43
CGC2.44.t1	mau-2
CGC2.45.t1	ins-18
CGC2.46.t1	del-4
CGC2.47.t1	CGC2.47
CGC2.48.t1	CGC2.48
CGC2.49.t2	CGC2.49
CGC2.49.t1	CGC2.49
CGC2.50.t1	CGC2.50
CGC2.51.t2	CGC2.51
CGC2.51.t1	CGC2.51
CGC2.52.t1	CGC2.52
CGC2.53.t1	CGC2.53
CGC2.54.t1	CGC2.54
CGC2.55.t1	F26A3.7
CGC2.56.t1	T24B1.1
CGC2.57.t1	T23G11.7
CGC2.57.t2	T23G11.7
CGC2.58.t1	rlbp-1
CGC2.59.t1	lron-9
CGC2.60.t1	T23G11.4
CGC2.61.t1	gld-1
CGC2.61.t2	gld-1
CGC2.62.t1	T23G11.1
CGC2.63.t1	F27D4.1
CGC2.64.t1	lsy-22
CGC2.64.t2	lsy-22
CGC2.65.t1	CBG00297b
CGC2.65.t2	CBG00297b
CGC2.65.t3	CBG00297b
CGC2.65.t4	CBG00297b
CGC2.66.t1	F27D4.8
CGC2.67.t1	bckd-1B
CGC2.68.t1	F27D4.4
CGC2.69.t1	F27D4.7
CGC2.70.t1	CBG00290
CGC2.71.t1	CGC2.71
CGC2.72.t1	F27D4.6
CGC2.73.t1	CGC2.73
CGC2.74.t1	F26A3.4
CGC2.75.t1	del-3
CGC2.76.t1	CBG00280
CGC2.77.t1	kin-26.1
CGC2.77.t2	kin-26.1
CGC2.78.t1	ego-1
CGC2.79.t1	CBG00322
CGC2.79.t2	CBG00322
CGC2.80.t1	T28B8.1
CGC2.81.t1	T28B8.6
CGC2.82.t1	adr-1
CGC2.82.t2	adr-1
CGC2.82.t3	adr-1
CGC2.83.t1	nsf-1
CGC2.84.t1	F58H10.1
CGC2.85.t1	CGC2.85
CGC2.86.t1	CBG19445
CGC2.87.t1	CGC2.87
CGC2.88.t1	CBG26615
CGC2.89.t1	rrf-1
CGC2.90.t1	CGC2.90
CGC2.91.t1	oac-56.3
CGC2.92.t1	odr-1.2
CGC2.93.t1	CGC2.93
CGC2.94.t1	CGC2.94
CGC2.95.t1	CGC2.95
CGC2.96.t1	CBG26618
CGC2.97.t1	CGC2.97
CGC2.98.t1	CBG26620
CGC2.99.t1	CGC2.99
CGC2.100.t1	M04C9.2.1
CGC2.101.t1	hxk-1
CGC2.102.t1	CBG19467
CGC2.103.t1	CBG19468
CGC2.104.t1	rpoa-2
CGC2.105.t1	prom-1
CGC2.106.t1	F26H9.2
CGC2.107.t1	CGC2.107
CGC2.108.t1	nmat-2
CGC2.109.t1	rab-5
CGC2.110.t1	uev-3
CGC2.111.t1	F14B4.1
CGC2.112.t1	CGC2.112
CGC2.113.t1	CGC2.113
CGC2.114.t1	CGC2.114
CGC2.115.t1	CGC2.115
CGC2.116.t1	CGC2.116
CGC2.117.t1	CGC2.117
CGC2.118.t1	CGC2.118
CGC2.119.t1	CGC2.119
CGC2.120.t1	aph-1
CGC2.121.t1	tat-5
CGC2.121.t2	tat-5
CGC2.122.t1	ent-6
CGC2.123.t1	F36H2.6
CGC2.124.t1	cfh-1
CGC2.124.t2	cfh-1
CGC2.124.t3	cfh-1
CGC2.125.t1	CGC2.125
CGC2.126.t1	CGC2.126
CGC2.127.t1	CGC2.127
CGC2.128.t1	gip-2
CGC2.129.t1	lipt-1
CGC2.130.t1	CBG29922
CGC2.131.t1	CBG16942
CGC2.132.t1	mrpl-54
CGC2.133.t1	clsp-1
CGC2.134.t1	eef-2.1
CGC2.135.t1	pyk-1
CGC2.136.t1	CBG26828a
CGC2.136.t2	CBG26828a
CGC2.137.t1	CGC2.137
CGC2.138.t1	CBG26829
CGC2.139.t1	CGC2.139
CGC2.140.t1	CGC2.140
CGC2.141.t1	CGC2.141
CGC2.142.t1	lim-9
CGC2.143.t1	CGC2.143
CGC2.144.t1	sdc-1
CGC2.145.t1	ZK354.2
CGC2.146.t1	CGC2.146
CGC2.147.t1	cus-2
CGC2.148.t1	Y65B4A.8
CGC2.149.t1	ugt-32
CGC2.150.t1	pde-6
CGC2.151.t1	Y95B8A.6
CGC2.152.t1	him-19
CGC2.153.t1	gpa-16
CGC2.154.t1	Y95B8A.4
CGC2.155.t1	zfr-1
CGC2.156.t1	cdk-14
CGC2.157.t1	ZC123.1
CGC2.158.t1	CGC2.158
CGC2.159.t1	T06A4.3
CGC2.159.t2	T06A4.3
