Orthogroup	N2	CGC2	ECA2666	ED3102	JU3237	NIC1667	VX34
OG0002782	glc-1, avr-15	avr-15	g3489.t1	g5489.t1	g14034.t1	g22184.t1	g752.t1
OG0003132	ben-1	ben-1	g5125.t1	g19661.t1	g3890.t1	g19767.t1	g6828.t1
OG0004119	avr-14	avr-14	g22718.t1	g10576.t1	g9360.t1	g14239.t1	g1712.t1
OG0004329	unc-63	unc-63	g22395.t1	g10900.t1	g9678.t1	g14573.t1	g1385.t1
OG0004382	unc-38	unc-38	g13083.t1	g10990.t1	g9769.t1	g14667.t1	g21343.t1
OG0004734	unc-29	unc-29	g12563.t1	g11487.t1	g15079.t1	g15168.t1	g2891.t1
OG0005599	lat-2	lat-2	g9511.t1	g13720.t1	g4814.t1	g18434.t1	g21313.t1
OG0006151	lat-1	lat-1	g19542.t3	g12795.t3	g8958.t3	g17489.t3	g4536.t3
OG0010028	lev-1	lev-1	g16588.t1	g1115.t1	g2274.t1	g12380.t1	g17256.t1
OG0012616	slo-1	slo-1	g13900.t3	g21984.t1	g20760.t3	g7636.t3	g16271.t1
OG0013216	lev-8	lev-8	g4286.t1	g8653.t1	g11792.t1	g804.t1	g9448.t1
