"Filename","Date","Metadata_Experiment","Metadata_Plate","Magnification","Metadata_Well","Worm_ID","Length_um","Width_um","Topology_Warnings","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","mean_wormwidth_um","min_wormwidth_um","q10_wormwidth_um","q25_wormwidth_um","median_wormwidth_um","sd_wormwidth_um","q75_wormwidth_um","q90_wormwidth_um","max_wormwidth_um","cv_wormwidth_um","n","flag_id","titer_WellFlag","n_WellFlag","outlier_length_WellFlag","outlier_width_WellFlag","outlier_WellFlag","assay_bleach","control_median_wormlength_um","median_wormlength_um_delta"
"20250529-CbDRC3-p025-m2x_A02_roi_0.png",20250529,"CbDRC3","p025","m2x","A02",0,771.562177701555,34.1600977146646,"","48h",10,"15hHB101","DMSO",1,"Levamisole",0.136,NA,NA,"ECA2666","1",NA,NA,721.226844469499,128.113274185763,677.354806345575,709.240603895073,737.135955767337,93.070021166934,757.284276424617,786.822165728727,799.496406559465,0.129044033622171,33.3380916233451,14.5674806414972,30.2837705373746,32.0013981906197,33.6950135089661,3.60136313884346,34.6969878034989,36.8907267920862,41.0411735347733,0.108025473669333,73,"1_ECA2666_0.136",NA,NA,NA,NA,NA,"1",742.112829021127,-4.97687325378934
"20250529-CbDRC3-p025-m2x_A03_roi_0.png",20250529,"CbDRC3","p025","m2x","A03",0,769.765837155492,34.3863698764497,"","48h",10,"15hHB101","DMSO",1,"Levamisole",0.273,NA,NA,"ECA2666","1",NA,NA,732.552483808273,205.399532277767,700.221513558879,721.334116164504,746.708118941348,84.2354683055153,772.652265550571,789.949874564918,814.211567903253,0.114988987365937,33.6123027647609,12.9676790783155,30.6106946204081,32.2061801530444,33.7555098081933,3.4452146653304,35.2294055593613,37.011469010109,40.1429646699105,0.102498620503394,76,"1_ECA2666_0.273",NA,"n>75",NA,NA,NA,"1",742.112829021127,4.59528992022172
"20250529-CbDRC3-p025-m2x_A05_roi_0.png",20250529,"CbDRC3","p025","m2x","A05",0,694.224201932603,32.6146024406483,"","48h",10,"15hHB101","DMSO",1,"Levamisole",1.09,NA,NA,"ECA2666","1",NA,NA,718.345770738222,620.702913431169,669.566880491742,688.390193885204,714.834022071044,54.2553343199162,736.872412520799,761.080207978898,1049.92660274431,0.0755281600170899,33.3912932659564,29.1357743876765,30.8456302161977,31.615194523572,33.3262439270922,2.208704107201,35.0042600637874,36.3146406117173,38.2118336347982,0.0661461084962785,66,"1_ECA2666_1.09",NA,NA,NA,NA,NA,"1",742.112829021127,-27.2788069500826
"20250529-CbDRC3-p025-m2x_A06_roi_0.png",20250529,"CbDRC3","p025","m2x","A06",0,770.046061302121,35.6737824151227,"","48h",10,"15hHB101","DMSO",1,"Levamisole",2.1875,NA,NA,"ECA2666","1",NA,NA,687.659950566842,356.96222775524,630.428217953701,672.227782109294,701.744205016633,60.8155353230366,723.916278825351,740.060486347573,770.865808906476,0.0884383848047367,33.1577742977023,19.3557838036491,30.0120293723906,32.189206806096,33.4047206532051,2.98981607868586,34.855486332564,35.8721319340655,38.1437476882496,0.0901693838628077,75,"1_ECA2666_2.1875",NA,NA,NA,NA,NA,"1",742.112829021127,-40.3686240044935
"20250529-CbDRC3-p025-m2x_A07_roi_0.png",20250529,"CbDRC3","p025","m2x","A07",0,596.727877720836,32.0356607554492,"","48h",10,"15hHB101","DMSO",1,"Levamisole",4.375,NA,NA,"ECA2666","1",NA,NA,547.865464495709,274.20087195942,463.144497628028,514.564834453673,559.803612576711,72.7153485784464,595.891834012041,626.294975278265,664.302798215003,0.132724826240651,29.2499956209822,19.1623624105538,23.9802160885916,27.5088495884525,29.6590223308121,3.69764985167277,32.035944382589,33.4396228312139,35.7399076847642,0.126415398470019,56,"1_ECA2666_4.375",NA,NA,NA,NA,NA,"1",742.112829021127,-182.309216444415
"20250529-CbDRC3-p025-m2x_A08_roi_0.png",20250529,"CbDRC3","p025","m2x","A08",0,611.562042000844,33.1530759562545,"","48h",10,"15hHB101","DMSO",1,"Levamisole",8.75,NA,NA,"ECA2666","1",NA,NA,499.44045337127,227.510542110122,396.720100087075,477.658372486723,507.304353705408,72.9791795876568,550.850650072445,573.255340527437,630.244047083752,0.146121883189559,27.9927786923617,10.4196657717697,23.8484751547877,26.9953858761743,28.9275558192818,3.75939665988426,29.9938842771833,31.4766915205614,34.3290276302952,0.134298802601904,70,"1_ECA2666_8.75",NA,NA,NA,NA,NA,"1",742.112829021127,-234.808475315718
"20250529-CbDRC3-p025-m2x_A09_roi_0.png",20250529,"CbDRC3","p025","m2x","A09",0,471.858079112559,26.6023011515711,"","48h",10,"15hHB101","DMSO",1,"Levamisole",17.5,NA,NA,"ECA2666","1",NA,NA,447.009714540391,176.369185831374,383.775844546865,427.936406790482,460.295863488974,63.6169403748677,487.624515601212,514.059521367167,540.37133081309,0.142316684191702,25.1933503263623,14.2305580485413,21.5089203495371,23.5106488755777,25.3730087188105,2.94181847115382,27.7200189985831,28.7720422811452,29.4502518568067,0.116769640918917,74,"1_ECA2666_17.5",NA,NA,NA,NA,NA,"1",742.112829021127,-281.816965532153
"20250529-CbDRC3-p025-m2x_A10_roi_0.png",20250529,"CbDRC3","p025","m2x","A10",0,528.948213963262,26.8251881593488,"","48h",10,"15hHB101","DMSO",1,"Levamisole",35,NA,NA,"ECA2666","1",NA,NA,459.422099569273,226.916472582581,382.559227588377,422.254618547555,482.70867469408,73.4685859337504,506.57515718624,515.791958523435,656.450347216087,0.159915219582667,25.2461930694363,13.7838458984952,21.3995601227418,23.0110993734467,26.1574542220263,3.3993473311366,27.9377499477831,28.7786424722481,29.4760768206064,0.134647917877644,80,"1_ECA2666_35",NA,"n>75",NA,NA,NA,"1",742.112829021127,-259.404154327047
"20250529-CbDRC3-p025-m2x_A11_roi_0.png",20250529,"CbDRC3","p025","m2x","A11",0,438.598450834572,24.6198316290925,"","48h",10,"15hHB101","DMSO",1,"Levamisole",70,NA,NA,"ECA2666","1",NA,NA,387.937625048215,182.615808225699,326.741271091416,357.98137380917,395.510453510322,62.046457153873,429.748883957095,462.870875620109,483.639732543037,0.159939261230878,22.2153042340425,15.4821184301917,19.172269181899,20.6412082219894,22.3801658615969,2.72036045615292,23.9761300312844,25.1912568833504,29.1090942043093,0.122454341722868,59,"1_ECA2666_70",NA,NA,NA,"outlier","outlier","1",742.112829021127,-346.602375510805
"20250529-CbDRC3-p025-m2x_B01_roi_0.png",20250529,"CbDRC3","p025","m2x","B01",0,833.258717307705,39.3879619463679,"","48h",10,"15hHB101","DMSO",1,"Levamisole",0,NA,NA,"JU3237","1",NA,NA,793.294103874949,394.512914442978,760.341439523217,778.423282752171,799.034505007685,64.7245634085455,826.367719698989,844.344640039086,872.303030696503,0.0815896186450774,37.1125531721162,23.5240643408619,34.6699228746679,35.9228443747658,37.3909930813042,2.68836233033278,38.871415781871,39.8144170827509,41.6997223949312,0.0724380863225717,67,"1_JU3237_0",NA,NA,NA,NA,NA,"1",810.19884282327,-11.1643378155849
